price_min,price_max,threshold,hold_period,total_trades,wins,losses,win_rate,games_traded,trades_per_game,total_gross_pl_dollars,total_fees_dollars,total_net_pl_dollars,mean_net_pl_pct,median_net_pl_pct,std_net_pl_pct,avg_win_pct,avg_loss_pct,sharpe_ratio,max_drawdown_pct,win_loss_ratio,t_statistic,p_value,win_rate_p_value,win_rate_ci_low,win_rate_ci_high,is_significant,mc_prob_profitable,mc_mean_ci_low,mc_mean_ci_high,mc_sharpe_ci_low,mc_sharpe_ci_high
1,10,8,20,4830,2266,2564,0.4691511387163561,208,23.221153846153847,2325.0,3696.0553000000004,-1371.0553000000007,4.304709391534388,-12.740000000000002,283.0161829806821,97.65219882948767,-78.1935008527722,0.2414531295657017,-17538.755892857156,1.2488531369551232,1.0570758080953966,0.29052986821961496,1.9133776621260205e-05,0.45510726490406167,0.48324404377276403,False,0.865,-2.7894607429590224,12.684939141936962,-0.17580478454253912,0.6099283710726068
1,15,18,7,4803,2164,2639,0.4505517384967728,283,16.97173144876325,1629.0,3726.8301000000006,-2097.8301000000006,0.2452769713341205,-13.160000000000002,130.18823140322286,67.13777721276207,-54.60708018003007,0.02990785855925545,-8137.806251997999,1.229470189422699,0.13056937974029523,0.8961214359838847,7.652118475179336e-12,0.4365257406681034,0.4646567709522121,False,0.544,-3.478834611816489,3.8319001860621134,-0.45476189283204926,0.4508811914285233
1,20,18,3,5665,2403,3262,0.4241835834068844,303,18.696369636963695,2106.0,5213.188400000001,-3107.188400000001,-1.5043483815394907,-13.020000000000001,88.43419444082346,48.09341519184291,-38.041266182532105,-0.27004023011162337,-14951.478519868879,1.2642432815216487,-1.2803483793995947,0.20047507052486271,3.271357018496159e-30,0.4113695583669146,0.43710036159117505,False,0.116,-3.819142799910821,0.8891275133473581,-0.7300147526656507,0.14650247138087474
1,10,12,3,5103,2192,2911,0.4295512443660592,273,18.692307692307693,1986.0,3379.9220000000005,-1393.9220000000005,-0.4434763110090877,-13.160000000000002,89.48188045200084,48.25954179339011,-37.11713336523204,-0.07867479038336277,-9504.393051587293,1.3001958238131415,-0.3540365567251356,0.7233261168467431,7.683715658662082e-24,0.4160276372573718,0.4431808371396313,False,0.358,-2.7750929076111492,1.8994110362640686,-0.5381818773735545,0.3148480296542216
1,10,15,5,4413,1912,2501,0.4332653523680036,267,16.528089887640448,1778.0,2748.5696000000007,-970.5696000000005,0.5818422194166568,-13.300000000000004,112.11515543845158,61.721646669738334,-46.15918381377608,0.08238367821910296,-8369.095472222214,1.3371477043170266,0.3447528551056313,0.730296611168785,7.693179475334788e-19,0.4187096165663939,0.44793717039859177,False,0.634,-2.8041337674763254,3.8135952051838142,-0.4202113303979543,0.5146642348770057
1,20,15,3,6541,2758,3783,0.42164806604494726,305,21.445901639344264,2163.0,6357.390900000001,-4194.390900000001,-2.8186618110354105,-13.020000000000001,84.27056271721587,44.50843759878282,-37.32253180106414,-0.5309667771190371,-24139.86797740487,1.19253532520304,-2.705136299181555,0.006845326505831131,6.961809204827119e-37,0.40973015119010836,0.43365795737613144,True,0.004,-4.903397557186495,-0.6450541762421316,-0.993124063861593,-0.11255450508018382
1,20,20,7,4586,2070,2516,0.45137374618403836,296,15.493243243243244,1486.0,4011.9450000000006,-2525.9450000000006,0.3604587953096556,-13.300000000000004,133.65503592060844,69.48759253655302,-56.51281896477531,0.04281249817665423,-7623.093635342678,1.2295899197643094,0.18263639456948583,0.855091400506053,4.825322514547819e-11,0.4370179271501971,0.46581096051369303,False,0.586,-3.2302801737405353,4.191276864632648,-0.4187104486516289,0.4871978072950926
1,10,15,3,4492,1936,2556,0.43098842386464825,273,16.454212454212453,1816.0,2790.6886000000004,-974.6886000000004,0.702008819912647,-13.300000000000004,93.91739681617902,51.74875545020004,-37.9625066246243,0.1186579367802173,-6080.019460317452,1.3631543344040755,0.5009753945441082,0.6164129919162106,2.2394015787502638e-20,0.4165716912771835,0.44552308993811485,False,0.691,-1.9862777852204652,3.523444784842362,-0.3660320087455683,0.5476417821882159
1,20,12,15,6959,3214,3745,0.4618479666618767,281,24.765124555160142,3048.0,7362.373200000002,-4314.373200000001,0.31350066342154065,-12.600000000000005,239.28685520092216,79.94966746399002,-68.03112953605165,0.0207979194821387,-28002.90069452176,1.1751924157252511,0.10929317445998842,0.9129731118510258,2.0660886150975006e-10,0.4501589978018615,0.47357903312410243,False,0.516,-5.274142425995001,6.367798211314555,-0.4445991422313282,0.3473984316950055
1,10,8,15,5167,2411,2756,0.46661505709309076,229,22.563318777292576,2211.0,3916.3635000000004,-1705.3635000000008,3.25928976010764,-12.740000000000002,271.00887923133456,85.97153692895655,-69.09892066227798,0.1909148551974192,-19406.77917063495,1.2441806052100834,0.8644874299269089,0.3873603210209786,1.6901966511728402e-06,0.4530420808401239,0.4802376372197905,False,0.803,-4.204543356649804,11.254743646300847,-0.28066113600363385,0.5476084773903468
1,25,25,7,3757,1702,2055,0.4530210274154911,299,12.565217391304348,997.0,3373.6409000000003,-2376.6409000000003,1.5291856228688652,-13.440000000000001,142.1750491956105,75.06035224933366,-59.371079875059635,0.1707407125001227,-5931.36269053285,1.2642578239656495,0.6592610480569928,0.5097685666662173,9.091325708645703e-09,0.43715967759483265,0.468978349262941,False,0.76,-2.8225960269553885,6.190524304544997,-0.3225392310219903,0.6608866606310513
1,10,15,20,3488,1603,1885,0.4595756880733945,206,16.932038834951456,2103.0,2269.0689,-166.06890000000013,10.043404534367264,-13.440000000000001,326.4939543264872,121.69509122528196,-84.90495290093048,0.48832176575831676,-11879.738583333332,1.4333096841509265,1.8167453198718972,0.06934193204458554,1.9321365516335423e-06,0.4430903306189806,0.4761499890445472,False,0.971,-0.20837056719979008,20.121953311836723,-0.012096896053909826,0.8679201856103721
1,15,12,3,6616,2828,3788,0.4274486094316808,294,22.503401360544217,2334.0,5751.621400000001,-3417.621400000001,-2.688628806380207,-12.880000000000003,83.05045965890955,42.732410007680514,-36.598527899876444,-0.5139123770292104,-23585.443121184362,1.1675991483751667,-2.6332164238977485,0.008477716396562198,3.4310396297223304e-32,0.41557345655557315,0.43940796468060533,True,0.005,-4.730480221187122,-0.6611782646610566,-0.9551317284736904,-0.11839912331540735
1,20,20,3,4773,2014,2759,0.42195684056149174,301,15.857142857142858,1738.0,4181.980600000001,-2443.980600000001,-0.37165832812485916,-13.300000000000004,94.06789563099642,52.553980419024036,-39.00603181009582,-0.06271951778925985,-8643.42088812027,1.347329579047865,-0.27295946449327557,0.7848961866017633,3.802399414316371e-27,0.408014180007721,0.4360250232142496,False,0.384,-2.9319922349835097,2.522987598222341,-0.5263012825596398,0.39933773080546797
1,20,18,7,5473,2486,2987,0.4542298556550338,298,18.36577181208054,1919.0,5042.765700000001,-3123.765700000001,-0.8215748140400533,-13.160000000000002,125.24646244665543,64.07433500731078,-54.83270029642311,-0.10413145084923701,-10397.46876071834,1.1685423964336574,-0.4852822125799207,0.6274955989154194,1.3495801060778798e-11,0.44107553537940225,0.4674483823262824,False,0.308,-4.331919367989257,2.4581181922449016,-0.5552988064675971,0.2960204426938056
1,20,12,3,7815,3281,4534,0.4198336532309661,306,25.53921568627451,2301.0,8166.925900000002,-5865.925900000002,-4.036440035057316,-12.740000000000002,78.49550143066969,39.9540924878174,-35.869906556352404,-0.81630791473208,-35414.82866710836,1.113861069725639,-4.545882730768169,5.552872632635656e-06,1.0135165192700314e-45,0.4089336121258712,0.4308124670600101,True,0.0,-5.7392800516954035,-2.376114785729589,-1.2597285465394137,-0.4476915322111129
1,25,18,18,5098,2386,2712,0.4680266771282856,290,17.579310344827586,1301.0,5331.7677,-4030.767700000001,1.1557956317060718,-13.160000000000002,241.30367499962227,92.6999131971145,-79.38412491072184,0.07603567101695868,-16912.09262979026,1.1677386795076228,0.3419928513545656,0.7323703717833672,5.281785633253986e-06,0.4543587950036641,0.48174270822192705,False,0.631,-4.794404377162706,7.760857724065301,-0.3980715372178963,0.4316987192826589
1,20,20,15,4003,1847,2156,0.4614039470397202,273,14.663003663003662,1745.0,3556.979300000001,-1811.9793000000006,5.495206063844735,-13.160000000000002,302.88856898658025,101.85345324009799,-77.05288416553363,0.28800589002019666,-13373.802690177477,1.3218642539231238,1.1478731418131003,0.25108954809857176,1.1137952667485974e-06,0.4460054573829994,0.4768764426932403,False,0.893,-2.919206567724483,15.343523734817028,-0.18830447323809876,0.6820302235061724
1,10,8,5,5815,2585,3230,0.4445399828030954,267,21.779026217228463,2154.0,4275.665800000001,-2121.6658000000007,-1.8839079822298679,-12.880000000000003,100.2709896396104,50.27215886831844,-43.62490885178632,-0.29825288641256614,-17659.476182539678,1.1523728115768872,-1.432713141618167,0.15199359682681965,2.820461695682712e-17,0.4318088738057482,0.45734431853252155,False,0.067,-4.355320687825003,0.507443579668753,-0.7475530965133653,0.0733090246729324
1,10,8,3,5895,2584,3311,0.4383375742154368,273,21.593406593406595,2236.0,4327.1284000000005,-2091.128400000001,-1.6654953027182064,-12.880000000000003,83.97975035202272,42.16302931501548,-35.870541395205024,-0.31482492116975996,-15913.227980158685,1.1754221618927558,-1.522687342428239,0.12789059329435457,2.863329189604385e-21,0.425715536604703,0.4510399237555856,False,0.061,-3.8125520668746744,0.44079827175639463,-0.7701725483187329,0.07971721090095862
1,15,15,20,4615,2145,2470,0.4647887323943662,238,19.39075630252101,2247.0,3936.1105000000002,-1689.1105000000002,5.066510271791526,-13.020000000000001,288.24712290789864,104.20127087164325,-81.02420288071129,0.2790257066690186,-13630.525673132464,1.2860511694888828,1.1940700324649955,0.23251195822998438,1.831081522190518e-06,0.45043424229731643,0.47920179243183825,False,0.874,-2.843103137142745,13.421780797213044,-0.1922272931963233,0.6655695763033137
1,15,15,7,5550,2504,3046,0.45117117117117117,284,19.54225352112676,1880.0,4603.1986000000015,-2723.1986000000006,-1.0349885934585956,-13.020000000000001,124.57509470718823,62.65204436403807,-53.3896604665944,-0.13188779512548762,-11169.969561105552,1.1734864731578334,-0.6189432471739309,0.5359791546828936,3.660143421581451e-13,0.43811788992361267,0.4642919998763225,False,0.243,-4.390073119875997,2.340976788955411,-0.5627762496036885,0.26942681627454507
1,25,25,5,3858,1692,2166,0.4385692068429238,301,12.817275747508306,1420.0,3466.7108000000007,-2046.7108000000005,1.4585703461065291,-13.440000000000001,120.42896419465879,67.54762103876118,-50.16777950244919,0.19226343585851932,-5925.999739431228,1.3464343391053117,0.7522765780948362,0.4519306558037218,2.4478657938109923e-14,0.4229800603818869,0.4542805664319472,False,0.763,-2.18969300958053,5.202724226865471,-0.3092560843186115,0.6279374913938
1,25,20,7,4989,2254,2735,0.45179394668270195,305,16.35737704918033,1178.0,4934.962200000001,-3756.962200000001,-0.7569487232877441,-13.300000000000004,129.87096823928036,67.17029384818122,-56.73793766518575,-0.09252405387587558,-8750.199112363181,1.1838691466820221,-0.4116812944293766,0.6805907257718564,1.0400344248992511e-11,0.4380266248813579,0.46563544731397843,False,0.352,-4.466688136764878,2.7712429387886264,-0.5624328912946814,0.33072233186318345
